STYLE NAME,STYLE NUMBER,DESCRIPTION,PRICES,FABRIC DESCRIPTION,XS,S,M,L,XL,TOTAL ,Style name encoded
BOXED BREEZE,VS 62,Not Available,2599/-,"COTTON PLAID FABRIC
RAW EDGES
COTTON JERSEY IN POCKET AND COLLAR",Not Available,0.0,5.0,4.0,Not Available,9.0,2
FIELD AND FLANNEL,VS - 63,"A plaid shirt with a square pocket in front and button closure, shot in Ladakh, would convey a rugged, adventurous style against the stunning backdrop of the high-altitude desert region. The shirt, featuring a classic checkered pattern, likely incorporates warm tones such as blues, and earthy greens, blending well with Ladakh’s natural landscape of rocky terrains, snow-capped mountains, and vast blue skies.",2599/-,"COTTON PLAID FABRIC
RAW EDGES
COTTON JERSEY IN POCKET AND COLLAR",Not Available,1.0,4.0,4.0,Not Available,9.0,14
VASATER,VS-30,"Embodying the rugged beauty and elegance of Ladakh’s landscapes, this purple cable-knitted zipper sweater from the Julley Ladakh collection combines boldness with refined warmth.",4200/-,KNITTED FABRIC WITH CABELS ALL AROUND,Not Available,13.0,20.0,13.0,Not Available,46.0,44
TSO VERDAN,VS-31,"Crafted to provide warmth in the harshest of climates, it speaks to the strength and resilience found in the heart of Ladakh’s scenic beauty.
",5199/-,WOOL ,Not Available,14.0,19.0,11.0,Not Available,44.0,42
NOMAD VEIL,VSD2-32,Not Available,Not Available,WOOL ,Not Available,Not Available,4.0,Not Available,Not Available,4.0,24
SHANTI NOIR,VS-32,"Embodying the raw, untamed beauty of Ladakh’s rugged landscape, this chocolate brown leather jacket exudes bold elegance with a timeless appeal. Crafted from premium leather, it echoes the earthiness and warmth of the arid terrain, juxtaposed with the cool, crisp mountain air.",9999/-,VEGAN LEATHER WITH BREATHABLE FABRIC LINING,Not Available,1.0,Not Available,Not Available,Not Available,1.0,34
EBON AURA,VS-33,"Inspired by the rugged, serene landscapes of Ladakh, this jacket seamlessly blends the boldness of black leather with the refined softness of grey suede. A perfect embodiment of the collection’s essence, it speaks to the untamed beauty and raw elegance of the region.",12999/-,VEGAN LEATHER WITH BREATHABLE FABRIC LINING,Not Available,Not Available,3.0,Not Available,Not Available,3.0,9
KHARE BROWN,VS-34,"nspired by the vast, scenic landscapes of the region, this piece captures the raw elegance and expressive spirit of the cold, untamed environment. The textured fabric and thoughtful design reflect the authentic charm of Ladakh, combining rough-edged details with a refined, modern silhouette.",7500/-,BREATHABLE LIGHT WEIGHT SUEDE FABRIC,Not Available,15.0,19.0,12.0,Not Available,46.0,20
RAW ALLURE,VS-35,"The bodysuit fits snugly against the body, providing a second-skin effect. It contours to the natural shape of the torso
Snap closures at the crotch and strap, allowing easy wear and removal.",2399/-,"PU LEATHER
100% STRETCHY KNITTED FABRIC FOR PERFECT FIT",Not Available,2.0,Not Available,Not Available,Not Available,2.0,29
EMBODY GRACE,VS-36,Not Available,Not Available,"MESH
100% STRETCHABLE FABRIC FOR PERFECT FIR
LIGHT WEIGHT LEATHER
",Not Available,3.0,1.0,1.0,Not Available,3.0,13
EMBER SLATE,VS-37,"Introducing the ultimate blend of elegance and edge: Ember slate. Designed for the modern trendsetter, this skort combines the luxurious softness of premium wool fabric with the sleek, polished finish of genuine leather accents. The asymmetrical leather panel wraps around the waist, secured with an adjustable buckle attachment that offers both functionality and a bold, statement-making detail.",2999/-,"LEATHER
WOOL FOR COMFORTABLE FIT",Not Available,4.0,Not Available,Not Available,Not Available,4.0,12
SERENE DRAPE,VS-38,"A mesh wool dress with a scoop neck and side zipper in the techno category blends futuristic elements with minimalist, utilitarian style.The techno fashion category emphasizes modern, minimalist, and often avant-garde designs that have a futuristic, industrial influence. The combination of mesh and wool reflects this by fusing high-tech textiles with natural fibers to create a garment that speaks to both the digital age and a sense of functional beauty.",4699/-,"MESH
BREATHABLE WOOL SUMMER FABRIC",Not Available,1.0,1.0,Not Available,Not Available,2.0,33
Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,25
TRIPPULSE,VS-39,"Featuring a structured silhouette, this jacket is detailed with three functional flap pockets on the front, providing ample storage while enhancing its rugged aesthetic. The two-tone flap design adds a striking visual contrast. The Flap Pocket Jacket features a unique zipper detail seamlessly integrated into one of the flap.",3699-,"SUEDE 
VEGAN LETHER POCKETS
BREATHABLE FABRIC LINING",Not Available,2.0,Not Available,1.0,Not Available,3.0,40
ROUGE SPLIT,VS-40,This long skirt with a daring side slit captures the spirit of boldness and grace.,3800/-,LIGHT WEIGHT WOOL,Not Available,3.0,1.0,1.0,Not Available,5.0,31
DREAMWAVE,VS-41,Not Available,Not Available,"MESH
COTTON JERSEY ",Not Available,17.0,17.0,17.0,Not Available,51.0,8
LUCIDNET,VS-42,"Elevate your casual style with the lucidnet. Designed with classic raglan sleeves for a sporty edge and crafted from soft, breathable fabric, this versatile piece offers all-day comfort and effortless style. Perfect for layering or wearing solo, it’s a wardrobe essential for any occasion.",2599/-,KNITTED CROCIA FABRIC,Not Available,3.0,5.0,5.0,Not Available,13.0,22
MINDWRAP,VS-43,"This stylish Raglan T-Shirt stands out with its unique zipper piping detailing and innovative design. Featuring a wool pouch pocket on the right sleeve for added utility, the t-shirt combines two zipper types—metal and Vislon—for a modern, textured contrast. Perfect for adding a functional yet edgy touch to your casual wardrobe.",4000/-,COTTON JERSEY,Not Available,Not Available,2.0,1.0,Not Available,3.0,23
DARK KNIGHT,VS-44,"These pants feature a bold, modern design that incorporates both edgy details and functionality. The main highlights of the design include black leather pockets on the front and buckle straps at the bottom that allow the wearer to adjust the ankle opening.",3000/-,"PU LEATHER 
FLEECE
",Not Available,6.0,6.0,3.0,Not Available,15.0,5
WRAPNET,VS-54,"This sleek raglan-sleeve design combines sporty aesthetics with a refined silhouette. Featuring a front zipper closure, it offers a snug, body-hugging fit that accentuates your shape while providing ease of wear. Perfect for a modern, minimalist look.",3499/-,"CROCIA
STRETCHABLE IMORTED LYCRA",Not Available,1.0,1.0,2.0,Not Available,4.0,45
RODEO GALAXY,VS-55,Not Available,Not Available,"VEGAN LEATHER
BREATHABLE FABRIC LINING.",Not Available,2.0,Not Available,Not Available,Not Available,2.0,30
"DETACHABLE PATCH PRINTED PANTS
MEN",VS-56 / D5-01,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,7
"STATEMENT COLLAR KNITTED SHIRT
MEN",VS-57 / D5-02,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,38
SHASHIMI,VS-58 / D5-03,"This detachable shoulder flap jacket from the Julley Ladakh collection is a perfect fusion of functionality and artistic expression. Inspired by the rugged yet breathtaking landscape of Ladakh, the design captures the region’s raw, scenic beauty.",3299/-,BLENDED WOOL FABRIC,Not Available,2.0,Not Available,Not Available,Not Available,2.0,35
"POUCH POCKET JAKCET
MEN",VS-59 / D5-04,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.0,28
TUNDRA GUARD,VS-60 / D5-06,"Designed with inspiration drawn from the cold, expressive landscapes, this jacket features a high turtleneck for ultimate warmth, a sleek zipper closure for a touch of modernity, and practical pockets to carry essentials.",9999/-,Not Available,Not Available,2.0,Not Available,Not Available,Not Available,2.0,43
CROPPED TUNDRA GUARD,VS-60-A,Not Available,Not Available,Not Available,Not Available,1.0,Not Available,Not Available,Not Available,Not Available,4
SKYDASH,VS-64 / D5-05,"Crafted from a unique blend of mesh and bae fabric, it embodies the bold and authentic essence of the region. The hoodie features rough-hewn textures and cold yet elegant tones, evoking the raw charm of Ladakh’s terrain.",4199/-,"TERRY
MESH",Not Available,1.0,Not Available,Not Available,Not Available,1.0,36
PARACHUTE PANTS,VS-013,"These stylish parachute pants feature a modern, edgy design with zipper detailing, an elasticated waist, and cinching at the bottom for a customizable, tapered fit. Made from lightweight, durable fabric, these pants offer a comfortable, relaxed silhouette that moves with you. The elasticated waist ensures a secure, flexible fit, while the zipper accents add a bold, functional touch. The cinched cuffs at the ankles provide a trendy, streamlined look, allowing you to adjust the fit to your preference. Perfect for a casual, streetwear-inspired outfit, these pants effortlessly combine comfort, style, and versatility.",2999/-,SOFT POLYESTER FABRIC,Not Available,26.0,23.0,25.0,Not Available,74.0,26
PLEATED WIDE PANTS (MENSWEAR),VS- 29,Not Available,Not Available,Not Available,Not Available,18.0,19.0,19.0,Not Available,56.0,27
BLUE CARGO,VS-004,CARGO JEANS WITH POUCH POCKET IN THE BOTTOM HAVI VASAVI STICKER/PRINT ON THE POCKET FLAP. BACK WILL BE ELASTICATED AND FRONT WILL BE SUPPORTED BY THE BUTTON AND FLY. POCKET STRINGS WILL BE SUPPORTED BY D-RINGS FOR THE ADJUSTMENTS.,2900/-,BLUE DENIM,Not Available,17.0,18.0,19.0,Not Available,54.0,1
